"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,c,c1,c2,d,d1,d2,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14
48,STRĂINĂTATE,ROMANIA,9999,BUCUREȘTI,"BIROUL ELECTORAL PENTRU VOTUL PRIN CORESPONDENȚĂ NR. 1",1,"Alegeri Prezidentiale prin corespondenta",2,0,7649,7103,546,7103,7103,0,7103,7085,18,3265,451,2851,16,69,15,19,10,3,195,20,93,10,68
48,STRĂINĂTATE,ROMANIA,9999,BUCUREȘTI,"BIROUL ELECTORAL PENTRU VOTUL PRIN CORESPONDENȚĂ NR. 2",2,"Alegeri Prezidentiale prin corespondenta",1,0,7697,7179,518,7179,7176,3,7179,7156,23,3288,495,2835,25,81,13,10,11,4,191,16,104,14,69
48,STRĂINĂTATE,"AFRICA DE SUD",9999,PRETORIA,PRETORIA,3,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,ROMANIA,9999,BUCUREȘTI,"BIROUL ELECTORAL PENTRU VOTUL PRIN CORESPONDENȚĂ NR. 3",3,"Alegeri Prezidentiale prin corespondenta",1,0,7608,6808,800,6808,6748,60,6808,6748,60,3195,350,2675,24,80,10,13,14,4,189,25,99,14,56
48,STRĂINĂTATE,"AFRICA DE SUD",9999,"CAPE TOWN","CAPE TOWN",4,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,"ARABIA SAUDITA",9999,RIAD,RIAD,8,"Alegeri Prezidentiale prin corespondenta",3,0,2,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,AUSTRALIA,9999,CANBERRA,CANBERRA,11,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,AUSTRALIA,9999,MELBOURNE,MELBOURNE,12,"Alegeri Prezidentiale prin corespondenta",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,AUSTRALIA,9999,SYDNEY,SYDNEY,15,"Alegeri Prezidentiale prin corespondenta",1,0,4,4,0,4,4,0,4,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,AUSTRIA,9999,VIENA,VIENA,18,"Alegeri Prezidentiale prin corespondenta",1,0,99,97,2,97,95,2,95,95,0,41,10,41,0,0,0,0,0,0,1,0,1,0,1
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,39,"Alegeri Prezidentiale prin corespondenta",2,0,212,207,5,207,207,0,207,207,0,66,14,114,2,1,0,0,1,0,5,0,3,0,1
48,STRĂINĂTATE,BRAZILIA,9999,BRASILIA,BRASILIA,61,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,BRAZILIA,9999,"RIO DE JANEIRO","RIO DE JANEIRO",62,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,BULGARIA,9999,SOFIA,SOFIA,63,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,CANADA,9999,OTTAWA,OTTAWA,64,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,CANADA,9999,VANCOUVER,VANCOUVER,68,"Alegeri Prezidentiale prin corespondenta",2,0,5,5,0,5,5,0,5,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,CANADA,9999,MONTREAL,MONTREAL,69,"Alegeri Prezidentiale prin corespondenta",1,0,32,32,0,32,0,32,32,32,0,18,9,4,0,0,0,0,0,0,0,0,0,0,1
48,STRĂINĂTATE,CANADA,9999,TORONTO,TORONTO,71,"Alegeri Prezidentiale prin corespondenta",1,0,31,31,0,31,31,0,31,31,0,18,1,12,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,"REPUBLICA CEHA",9999,PRAGA,PRAGA,73,"Alegeri Prezidentiale prin corespondenta",1,0,13,12,1,12,12,0,12,12,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,COLUMBIA,9999,BOGOTA,BOGOTA,75,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,"REPUBLICA COREEA",9999,SEOUL,SEOUL,77,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,CHILE,9999,"SANTIAGO DE CHILE","SANTIAGO DE CHILE",78,"Alegeri Prezidentiale prin corespondenta",2,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,CHINA,9999,BEIJING,BEIJING,80,"Alegeri Prezidentiale prin corespondenta",2,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,CHINA,9999,SHANGHAI,SHANGHAI,81,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,CHINA,9999,"HONG KONG","HONG KONG",82,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,CIPRU,9999,NICOSIA,NICOSIA,83,"Alegeri Prezidentiale prin corespondenta",2,0,3,3,0,3,3,0,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,DANEMARCA,9999,COPENHAGA,COPENHAGA,91,"Alegeri Prezidentiale prin corespondenta",1,0,65,62,3,62,62,0,62,62,0,17,4,34,0,0,1,2,0,0,4,0,0,0,0
48,STRĂINĂTATE,EGIPT,9999,CAIRO,CAIRO,103,"Alegeri Prezidentiale prin corespondenta",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,ELVETIA,9999,BERNA,BERNA,106,"Alegeri Prezidentiale prin corespondenta",2,0,208,208,0,208,204,4,204,204,0,98,11,87,0,0,1,0,0,0,6,0,0,0,1
48,STRĂINĂTATE,"EMIRATELE ARABE UNITE",9999,"ABU DHABI","ABU DHABI",112,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,"EMIRATELE ARABE UNITE",9999,DUBAI,DUBAI,113,"Alegeri Prezidentiale prin corespondenta",3,0,2,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
