"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2
48,STRĂINĂTATE,AFGANISTAN,9999,KABUL/HKIA,KABUL/HKIA,1,"Alegeri Prezidentiale",1,0,246,0,246,0,239,7,591,345,202,37
48,STRĂINĂTATE,AFGANISTAN,9999,KANDAHAR/KAF,KANDAHAR/KAF,2,"Alegeri Prezidentiale",2,0,455,0,455,0,437,18,597,142,357,80
48,STRĂINĂTATE,"AFRICA DE SUD",9999,PRETORIA,PRETORIA,3,"Alegeri Prezidentiale",1,0,104,0,104,0,104,0,409,305,93,11
48,STRĂINĂTATE,"AFRICA DE SUD",9999,"CAPE TOWN","CAPE TOWN",4,"Alegeri Prezidentiale",1,0,94,0,94,0,94,0,200,106,85,9
48,STRĂINĂTATE,ALBANIA,9999,TIRANA,TIRANA,5,"Alegeri Prezidentiale",1,0,41,0,41,0,41,0,315,274,35,6
48,STRĂINĂTATE,ALGERIA,9999,ALGER,ALGER,6,"Alegeri Prezidentiale",1,0,28,0,28,0,28,0,100,72,25,3
48,STRĂINĂTATE,ANGOLA,9999,LUANDA,LUANDA,7,"Alegeri Prezidentiale",1,0,8,0,8,0,8,0,100,92,7,1
48,STRĂINĂTATE,"ARABIA SAUDITA",9999,RIAD,RIAD,8,"Alegeri Prezidentiale",1,0,165,0,165,0,164,1,503,338,152,12
48,STRĂINĂTATE,ARGENTINA,9999,"BUENOS AIRES","BUENOS AIRES",9,"Alegeri Prezidentiale",1,0,134,0,134,0,131,3,200,66,112,19
48,STRĂINĂTATE,ARMENIA,9999,EREVAN,EREVAN,10,"Alegeri Prezidentiale",1,0,23,0,23,0,23,0,200,177,21,2
48,STRĂINĂTATE,AUSTRALIA,9999,CANBERRA,CANBERRA,11,"Alegeri Prezidentiale",1,0,33,0,33,0,33,0,360,327,27,6
48,STRĂINĂTATE,AUSTRALIA,9999,MELBOURNE,MELBOURNE,12,"Alegeri Prezidentiale",1,0,448,0,448,0,446,2,2000,1552,404,42
48,STRĂINĂTATE,AUSTRALIA,9999,ADELAIDE,ADELAIDE,13,"Alegeri Prezidentiale",1,0,75,0,75,0,74,1,500,425,70,4
48,STRĂINĂTATE,AUSTRALIA,9999,PERTH,PERTH,14,"Alegeri Prezidentiale",1,0,221,0,221,0,220,1,1008,787,205,15
48,STRĂINĂTATE,AUSTRALIA,9999,SYDNEY,SYDNEY,15,"Alegeri Prezidentiale",1,0,356,0,356,0,355,1,1600,1244,331,24
48,STRĂINĂTATE,AUSTRALIA,9999,BRISBANE,BRISBANE,16,"Alegeri Prezidentiale",1,0,170,0,170,0,169,1,1600,1430,157,12
48,STRĂINĂTATE,"NOUA ZEELANDA",9999,AUCKLAND,AUCKLAND,17,"Alegeri Prezidentiale",1,0,206,0,206,0,205,1,1000,794,185,20
48,STRĂINĂTATE,AUSTRIA,9999,VIENA,VIENA,18,"Alegeri Prezidentiale",1,0,3261,0,3261,0,3241,20,7000,3739,3018,223
48,STRĂINĂTATE,AUSTRIA,9999,VIENA,VIENA,19,"Alegeri Prezidentiale",1,0,3128,0,3128,0,3101,27,7000,3872,2897,204
48,STRĂINĂTATE,AUSTRIA,9999,VIENA,VIENA,20,"Alegeri Prezidentiale",1,0,723,0,723,0,717,6,7001,6278,665,52
48,STRĂINĂTATE,AUSTRIA,9999,VIENA,VIENA,21,"Alegeri Prezidentiale",1,0,769,0,769,0,764,5,7001,6232,719,45
48,STRĂINĂTATE,AUSTRIA,9999,VIENA,VIENA,22,"Alegeri Prezidentiale",1,0,1886,0,1886,0,1858,28,6995,5109,1732,126
48,STRĂINĂTATE,AUSTRIA,9999,VIENA,VIENA,23,"Alegeri Prezidentiale",1,0,2197,0,2197,0,2183,14,6900,4703,2025,158
48,STRĂINĂTATE,AUSTRIA,9999,KLAGENFURT,KLAGENFURT,24,"Alegeri Prezidentiale",1,0,999,0,999,0,991,8,7000,6001,939,52
48,STRĂINĂTATE,AUSTRIA,9999,SALZBURG,SALZBURG,25,"Alegeri Prezidentiale",1,0,1399,0,1399,0,1394,5,7000,5601,1315,79
48,STRĂINĂTATE,AUSTRIA,9999,SALZBURG,SALZBURG,26,"Alegeri Prezidentiale",1,0,1422,0,1422,0,1413,9,7000,5578,1348,65
48,STRĂINĂTATE,AUSTRIA,9999,GRAZ,GRAZ,27,"Alegeri Prezidentiale",1,0,2083,0,2083,0,2074,9,7000,4917,1963,111
48,STRĂINĂTATE,AUSTRIA,9999,GRAZ,GRAZ,28,"Alegeri Prezidentiale",1,0,2074,0,2074,0,2064,10,7002,4928,1981,83
