Entity,Code,Year,Fossil fuels (TWh growth – sub method)
Africa,,1966,31.561
Africa,,1967,4.169
Africa,,1968,32.926
Africa,,1969,10.075
Africa,,1970,57.013
Africa,,1971,79.774
Africa,,1972,47.15
Africa,,1973,78.295
Africa,,1974,40.291
Africa,,1975,60.949
Africa,,1976,103.122
Africa,,1977,56.772
Africa,,1978,52.302
Africa,,1979,129.882
Africa,,1980,120.125
Africa,,1981,187.321
Africa,,1982,127.782
Africa,,1983,68.219
Africa,,1984,58.77
Africa,,1985,65.302
Africa,,1986,37.733
Africa,,1987,83.12
Africa,,1988,145.397
Africa,,1989,-1.353
Africa,,1990,87.187
Africa,,1991,-13.689
Africa,,1992,51.373
Africa,,1993,18.44
Africa,,1994,69.292
Africa,,1995,99.8
Africa,,1996,67.165
Africa,,1997,49.213
Africa,,1998,35.044
Africa,,1999,82.832
Africa,,2000,58.445
Africa,,2001,116.483
Africa,,2002,23.252
Africa,,2003,164.224
Africa,,2004,237.363
Africa,,2005,28.653
Africa,,2006,61.761
Africa,,2007,128.231
Africa,,2008,245.749
Africa,,2009,69.275
Africa,,2010,117.504
Africa,,2011,9.717
Africa,,2012,155.313
Africa,,2013,102.312
Africa,,2014,121.683
Africa,,2015,68.194
Africa,,2016,123.903
Africa,,2017,88.779
Africa,,2018,151.499
Africa,,2019,88.599
Algeria,DZA,1966,5.133
Algeria,DZA,1967,-1.748
Algeria,DZA,1968,1.645
Algeria,DZA,1969,3.792
Algeria,DZA,1970,2.572
Algeria,DZA,1971,3.713
Algeria,DZA,1972,4.427
Algeria,DZA,1973,7.843
Algeria,DZA,1974,6.412
Algeria,DZA,1975,11.96
Algeria,DZA,1976,11.552
Algeria,DZA,1977,8.465
Algeria,DZA,1978,23.205
Algeria,DZA,1979,35.058
Algeria,DZA,1980,28.703
Algeria,DZA,1981,37.721
Algeria,DZA,1982,32.592
Algeria,DZA,1983,23.576
Algeria,DZA,1984,-11.412
Algeria,DZA,1985,1.527
Algeria,DZA,1986,16.365
Algeria,DZA,1987,6.941
Algeria,DZA,1988,21.188
Algeria,DZA,1989,-8.481
Algeria,DZA,1990,18.175
Algeria,DZA,1991,-3.346
Algeria,DZA,1992,8.41
Algeria,DZA,1993,-22.687
Algeria,DZA,1994,4.479
Algeria,DZA,1995,11.144
